story_title,story_id,genre_id,genre_name,filename,prompt,negative_prompt,aspect_ratio,logline
"The Three Little Pigs","pigs","01","Original Fairy Tale","pigs_01_original.webp","Storybook woodcut illustration: three anthropomorphic pig brothers in patched waistcoats stand before three escalating houses — straw hovel, stick lean-to, brick cottage — under a twilight forest sky. A grinning anthropomorphic wolf in a tattered black cloak crouches in the foreground, exhaling visible breath. Inked outlines, hand-painted watercolor wash, warm sepia and forest-green palette, classic Brothers Grimm engraving sensibility. Centered composition, square frame, no text or borders.","text, signature, watermark, modern logos, photorealism, blurry, lowres","1:1","Three pig brothers build houses of straw, sticks, and brick as a hot-breathed wolf hunts them through the woods."
"The Three Little Pigs","pigs","02","Film Noir","pigs_02_noir.webp","High-contrast black-and-white film still: three anthropomorphic pig brothers in pinstripe suits and fedoras inside a smoky speakeasy with three escalating interiors visible — straw curtain booth, plywood booth, brick-walled office. A lone anthropomorphic wolf detective in a long trench coat lights a cigarette, half his face cut by venetian-blind shadows. 1940s pulp poster aesthetic, deep blacks, hard rim light, single red tie as color accent. Square frame, centered composition.","color saturation, modern fashion, daylight, cartoon, lowres","1:1","Three pig brothers run a smoky speakeasy. A wolf detective in a fedora circles, looking for the hideout no bullet can crack."
"The Three Little Pigs","pigs","03","Cosmic Horror","pigs_03_cosmic-horror.webp","Eldritch horror illustration: three anthropomorphic pig figures hunched within three shrines of straw, polished bone, and black basalt under an indifferent sky of violet nebulae and bleeding stars. An enormous wolf-shaped silhouette of negative space looms — composed of writhing tentacles where teeth should be — exhaling cold light. Sickly green and violet palette, non-Euclidean geometry, Lovecraftian dread, pen-and-ink with painterly washes. Centered composition, square frame.","cute, friendly, bright colors, warm light, text","1:1","Three pigs huddle in shrines of straw, bone, and basalt. The wolf is no animal — it is a hunger between stars."
"The Three Little Pigs","pigs","04","Gothic Horror","pigs_04_gothic.webp","Gothic oil painting: three anthropomorphic pig heirs in mourning velvet stand before three crumbling manor wings — a thatched gatekeeper's cottage, a moss-eaten timber wing, a fog-bound brick estate with one lit window. A black wolf-shaped shadow with glowing eyes pads across the moors in the foreground. Candelabras, fog, claret reds and bone whites, lingering dread, Goya-meets-Bronte. Square frame.","modern, cheerful, bright daylight, cartoon, text","1:1","Three pig heirs inherit crumbling manors. A wolf-shaped family curse scratches at locked doors after midnight."
"The Three Little Pigs","pigs","05","Steampunk","pigs_05_steampunk.webp","Steampunk illustration: three anthropomorphic pig engineers in brass goggles and leather aprons stand before three escalating workshops — a canvas tent rig, a riveted iron shed, a brass-domed fortress with copper piping. A wolf-engineer in pressurized boilersuit pilots a small airship overhead, smokestacks puffing. Sepia-and-verdigris palette, exposed gears, pneumatic tubes, vintage scientific illustration plate sensibility. Square frame.","plastic, modern electronics, neon, photorealism, text","1:1","Three pig engineers fortify workshops with steam and brass. The wolf arrives in an airship of pressurized fury."
"The Three Little Pigs","pigs","06","Cyberpunk","pigs_06_cyberpunk.webp","Cyberpunk concept art: three anthropomorphic pig hackers with chrome implants seated before three escalating server-rigs — a cardboard-and-cable hovel, a midrange neon-lit terminal, a chrome-walled military-grade datacenter. A wolf-class netrunner in black hoodie and glowing visor uploads a payload, scarlet code streaming. Rain-wet neon, hot pink and electric cyan, holographic ad-glow, Blade Runner palette. Square frame.","natural materials, daylight, rustic, oil painting, text","1:1","Three pig hackers raise weak, average, and military-grade ICE. A wolf-class netrunner cracks their firewalls in sequence."
"The Three Little Pigs","pigs","07","Space Opera","pigs_07_space-opera.webp","Space opera concept art: three anthropomorphic pig colonists in pressure suits stand before three escalating habitat domes on a frontier moon — inflatable tent, fabric geodesic, reinforced metal arcology — Saturnian rings overhead. A sleek wolf-class warship hangs in low orbit, hull running with battle scars, ion engines glowing. Sapphire and magenta nebulae, hard sci-fi detail, lens flare. Square frame.","earth, primitive, fantasy creatures, magic, text","1:1","Three pig colonists raise domes on a frontier moon. A wolf-class warship in low orbit picks them off, dome by dome."
"The Three Little Pigs","pigs","08","Western","pigs_08_western.webp","Western painted illustration: three anthropomorphic pig brothers in dusters and boots stand before three escalating frontier dwellings — a canvas tent, a clapboard shack, a stone homestead with iron-bound door — under a blood-orange sundown. A black-hatted anthropomorphic wolf with twin revolvers rides up the trail on a tall horse. Dust, ochre and rust palette, John Ford framing, weathered wood. Square frame.","futuristic, electronic, neon, urban, text","1:1","Three pig brothers stake frontier claims — tent, shack, stone homestead. A black-hatted wolf rides in at sundown."
"The Three Little Pigs","pigs","09","Post-Apocalyptic","pigs_09_post-apocalyptic.webp","Post-apocalyptic concept art: three anthropomorphic pig survivors in scavenged armor stand before three escalating ruins — a lean-to of corrugated tin, a salvaged-timber barricade, a graffitied concrete bunker — beneath an ash-grey sky. A snarling wolf warlord leads a pack of mutants across a cracked highway, leather and bone fetishes. Mad Max palette of rust, bone, and bleached sun. Square frame.","clean, modern, pristine, bright colors, optimistic, text","1:1","Three pig survivors fortify ruins — scavenged tin, salvaged wood, concrete bunker. The wolf leads a feral pack."
"The Three Little Pigs","pigs","10","Dystopian","pigs_10_dystopian.webp","Dystopian propaganda-poster illustration: three anthropomorphic pig citizens in identical grey uniforms stand at attention before three sanctioned concrete dwellings, surveillance cameras blinking from every eave. A wolf-state officer in mirrored visor and crimson armband oversees a roll call. Brutalist concrete, blood-red banners, monochrome with single red accent, 1984 atmosphere — the world WORKS, but wrongly. Square frame.","ruined, post-apocalyptic, rural, warm light, freedom, text","1:1","Three pig citizens build sanctioned dwellings under the Wolf State's gaze. Surveillance cameras blink in every wall."
