story_id,genre_id,genre,filename,prompt
pigs,01,Original Fairy Tale,pigs_01_original.webp,"Storybook woodcut illustration with warm watercolor wash, sepia and forest-green, classic Brothers Grimm engraving warmth: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow, under a twilight forest sky. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,02,Film Noir,pigs_02_noir.webp,"High-contrast black-and-white film-noir still, venetian-blind shadows and rain, a single red accent, 1940s pulp menace: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow, on a wet city backlot at night, the wolf in a fedora and trench coat. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,03,Cosmic Horror,pigs_03_cosmic-horror.webp,"Eldritch cosmic-horror illustration, sickly greens and violet nebulae, Lovecraftian dread, non-Euclidean angles: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow rendered as three shrines, the wolf an enormous silhouette of negative space with too many teeth. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,04,Gothic Horror,pigs_04_gothic.webp,"Gothic oil painting, claret and bone palette, candlelight and fog, Goya-meets-Bronte dread: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow on a fog-bound moor, the wolf a black shape with glowing eyes. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,05,Steampunk,pigs_05_steampunk.webp,"Steampunk illustration plate, sepia and verdigris, brass gears and pressure gauges, vintage scientific-plate look: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as brass-and-timber workshops, the wolf an engineer piloting a small airship overhead. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,06,Cyberpunk,pigs_06_cyberpunk.webp,"Cyberpunk concept art, rain-wet neon, hot pink and electric cyan, Blade Runner glow: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as neon-lit hab-units, the wolf a hooded netrunner with a glowing visor. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,07,Space Opera,pigs_07_space-opera.webp,"Space-opera concept art, sapphire and magenta nebulae, hard sci-fi detail, lens flare: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as escalating habitat domes on a frontier moon, the wolf a warship hanging in low orbit. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,08,Western,pigs_08_western.webp,"Spaghetti-western painted illustration, sun-baked amber and dust, long shadows at sundown: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as frontier claims -- tent, shack, stone homestead, the wolf a black-hatted drifter. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,09,Post-Apocalyptic,pigs_09_post-apocalyptic.webp,"Bleak post-apocalyptic painting, ash-grey palette, rusted metal and wind-blown dust: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow built of plastic, scrap metal, and concrete, the wolf a war machine on the horizon. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,10,Dystopian,pigs_10_dystopian.webp,"Cold dystopian propaganda-poster style, stark institutional palette, surveillance apertures blinking amber: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as regulation state dwellings, the wolf a uniformed inspector. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,11,Solarpunk,pigs_11_solarpunk.webp,"Solarpunk illustration, warm greens and honey light, living-willow and mycelium, eco-futuristic optimism: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as thatch, mycelium, and living-masonry homes, the reformed wolf arriving peacefully with tea. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,12,High Fantasy,pigs_12_high-fantasy.webp,"Epic high-fantasy oil painting, rich jewel tones, glowing runes, majestic detail: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as enchanted hay, runed oak, and dwarven brick, the wolf a werewolf knight at the blood moon. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,13,Anime,pigs_13_anime.webp,"Vibrant anime cel style, bold outlines, cherry-blossom light, expressive eyes and speed lines: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as martial-arts dorms, the wolf a brooding transfer-student rival with a wind technique. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
pigs,14,Superhero Comic,pigs_14_superhero.webp,"Bold superhero-comic splash page, halftone dots and action lines, bold primaries: three anthropomorphic little pig brothers standing before their three houses arranged left to right -- a straw hut, a stick house, and a sturdy brick house -- while a big anthropomorphic wolf looms beside the brick house, mid-huff, about to blow as color-coded armored bunkers, the wolf a sonic-lunged supervillain looming over the harbor. Square 1:1 frame. Anthropomorphic pigs and wolf (upright, clothed), not real animals and not humans. Avoid: text, watermarks, gore."
